,id,period,details,season,balls,player,awayPlayers,homePlayers,periodDescription,startFormattedGameClock,startGameClock,team,competitionId,gameId,homeTeam,eventType,eventTypeDescription,pressures,initialPressures,accuracyType,accuracyTypeDescription,crossOutcomeType,crossOutcomeTypeDescription,crossType,crossTypeDescription,crossZoneType,crossZoneTypeDescription,failedBlockers,incompletionReasonType,incompletionReasonTypeDescription,linesBrokenType,linesBrokenTypeDescription,secondIncompletionReasonType,secondIncompletionReasonTypeDescription,ballHeightType,ballHeightTypeDescription,bodyType,bodyTypeDescription,endGameClock,highPointType,highPointTypeDescription,nonEvent,blockerPlayer.id,blockerPlayer.name,blockerPlayer.grade,crosserPlayer.id,crosserPlayer.name,crosserPlayer.grade,defenderPlayer.id,defenderPlayer.name,defenderPlayer.grade,deflectorPlayer.id,deflectorPlayer.name,deflectorPlayer.grade,failedBlockerPlayer.id,failedBlockerPlayer.name,failedBlockerPlayer.grade,receiverPlayer.id,receiverPlayer.name,receiverPlayer.grade,targetPlayer.id,targetPlayer.name,targetPlayer.grade,positions,movements,dabs,closingDowns
0,ca0707e43437d037cb8b610e8d9d952d,1,"{'pressures': [], 'initialPressures': [], 'accuracyType': 'S', 'accuracyTypeDescription': 'Standard', 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'C', 'crossOutcomeTypeDescription': 'Complete', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 16789, 'name': 'Lewis Miley', 'grade': 1.0}, 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': None, 'incompletionReasonTypeDescription': None, 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': 10727, 'name': 'Malick Thiaw', 'grade': 0.0}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 10727, 'name': 'Malick Thiaw', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 68.201534, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 16789, 'name': 'Lewis Miley'}",[],[],First half,00:50,50.0,"{'id': 13, 'name': 'Newcastle United'}",1,40992,False,CR,Cross,[],[],S,Standard,C,Complete,I,Inswinger,N,Near Post,[],,,,,,,G,On the ground,R,Right foot,68.201534,A,Above head,False,,,,16789,Lewis Miley,1.0,,,,,,,,,,10727.0,Malick Thiaw,0.0,10727.0,Malick Thiaw,,,,,
1,6b53bcc494bc48f86c0f7e76fae33c01,1,"{'pressures': [{'type': 'P', 'playerId': 23341, 'playerName': ""Jake O'Brien"", 'typeDescription': 'Player Pressured'}], 'initialPressures': [], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'D', 'crossOutcomeTypeDescription': 'Defensive Interception', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 219, 'name': 'Harvey Barnes', 'grade': -1.0}, 'defenderPlayer': {'id': 489, 'name': 'James Tarkowski', 'grade': 0.0}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': 23341, 'name': ""Jake O'Brien"", 'grade': 0.0}, 'failedBlockers': [], 'incompletionReasonType': 'DI', 'incompletionReasonTypeDescription': 'Defender Interception', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': 'UH', 'secondIncompletionReasonTypeDescription': 'Underhit', 'targetPlayer': {'id': 16789, 'name': 'Lewis Miley', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 401.3013, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 219, 'name': 'Harvey Barnes'}",[],[],First half,06:20,380.0,"{'id': 13, 'name': 'Newcastle United'}",1,40992,False,CR,Cross,"[{'type': 'P', 'playerId': 23341, 'playerName': ""Jake O'Brien"", 'typeDescription': 'Player Pressured'}]",[],,,D,Defensive Interception,I,Inswinger,N,Near Post,[],DI,Defender Interception,,,UH,Underhit,G,On the ground,R,Right foot,401.3013,A,Above head,False,,,,219,Harvey Barnes,-1.0,489.0,James Tarkowski,0.0,,,,23341.0,Jake O'Brien,0.0,,,,16789.0,Lewis Miley,,,,,
2,2920c990180e25715d26b0b9c994c7e0,1,"{'receiverPlayer': {'id': 9964, 'name': 'Nick Woltemade', 'grade': 0.0}, 'linesBrokenType': None, 'positions': [{'grade': -1.0, 'playerId': 371, 'playerName': 'Jack Grealish'}], 'pressures': [], 'crossOutcomeTypeDescription': 'Complete', 'secondIncompletionReasonType': None, 'linesBrokenTypeDescription': None, 'incompletionReasonTypeDescription': None, 'crossZoneTypeDescription': 'Near Post', 'failedBlockers': [], 'highPointType': 'H', 'ballHeightTypeDescription': 'On the ground', 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'highPointTypeDescription': 'Between waist and head', 'ballHeightType': 'G', 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossTypeDescription': 'Inswinger', 'accuracyTypeDescription': 'Standard', 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'bodyTypeDescription': 'Left foot', 'accuracyType': 'S', 'bodyType': 'L', 'secondIncompletionReasonTypeDescription': None, 'endGameClock': 473.006338, 'incompletionReasonType': None, 'crossZoneType': 'N', 'targetPlayer': {'id': 9964, 'name': 'Nick Woltemade', 'grade': None}, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossType': 'I', 'nonEvent': False, 'initialPressures': [], 'crosserPlayer': {'id': 7070, 'name': 'Lewis Hall', 'grade': 0.0}, 'crossOutcomeType': 'C'}",2025-2026,[],"{'id': 7070, 'name': 'Lewis Hall'}",[],[],First half,07:35,455.0,"{'id': 13, 'name': 'Newcastle United'}",1,40992,False,CR,Cross,[],[],S,Standard,C,Complete,I,Inswinger,N,Near Post,[],,,,,,,G,On the ground,L,Left foot,473.006338,H,Between waist and head,False,,,,7070,Lewis Hall,0.0,,,,,,,,,,9964.0,Nick Woltemade,0.0,9964.0,Nick Woltemade,,"[{'grade': -1.0, 'playerId': 371, 'playerName': 'Jack Grealish'}]",,,
3,8cba2b83f2b6aaf9675a14810420e678,1,"{'pressures': [], 'initialPressures': [], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'D', 'crossOutcomeTypeDescription': 'Defensive Interception', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'S', 'crossZoneTypeDescription': 'Six Yard Box', 'crosserPlayer': {'id': 7070, 'name': 'Lewis Hall', 'grade': 0.0}, 'defenderPlayer': {'id': 169, 'name': 'Jordan Pickford', 'grade': 0.0}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': 'DC', 'incompletionReasonTypeDescription': 'Defensive Challenge', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 441, 'name': 'Dan Burn', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'L', 'bodyTypeDescription': 'Left foot', 'endGameClock': 524.290955, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 7070, 'name': 'Lewis Hall'}",[],[],First half,08:26,506.0,"{'id': 13, 'name': 'Newcastle United'}",1,40992,False,CR,Cross,[],[],,,D,Defensive Interception,I,Inswinger,S,Six Yard Box,[],DC,Defensive Challenge,,,,,G,On the ground,L,Left foot,524.290955,A,Above head,False,,,,7070,Lewis Hall,0.0,169.0,Jordan Pickford,0.0,,,,,,,,,,441.0,Dan Burn,,,,,
4,32276f16755d7ffdd2827b7ded6844c1,1,"{'pressures': [{'type': 'P', 'playerId': 7070, 'playerName': 'Lewis Hall', 'typeDescription': 'Player Pressured'}], 'initialPressures': [{'type': 'P', 'playerId': 7070, 'playerName': 'Lewis Hall', 'typeDescription': 'Player Pressured'}], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'D', 'crossOutcomeTypeDescription': 'Defensive Interception', 'crossType': 'O', 'crossTypeDescription': 'Outswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 2144, 'name': 'Iliman Ndiaye', 'grade': 1.0}, 'defenderPlayer': {'id': 3081, 'name': 'Valentino Livramento', 'grade': 0.0}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': 7070, 'name': 'Lewis Hall', 'grade': 0.0}, 'failedBlockers': [], 'incompletionReasonType': 'DI', 'incompletionReasonTypeDescription': 'Defender Interception', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': 'RM', 'secondIncompletionReasonTypeDescription': 'Receiver Misses Ball', 'targetPlayer': {'id': 19643, 'name': 'Thierno Barry', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 572.572571, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 2144, 'name': 'Iliman Ndiaye'}",[],[],First half,09:09,549.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,"[{'type': 'P', 'playerId': 7070, 'playerName': 'Lewis Hall', 'typeDescription': 'Player Pressured'}]","[{'type': 'P', 'playerId': 7070, 'playerName': 'Lewis Hall', 'typeDescription': 'Player Pressured'}]",,,D,Defensive Interception,O,Outswinger,N,Near Post,[],DI,Defender Interception,,,RM,Receiver Misses Ball,G,On the ground,R,Right foot,572.572571,A,Above head,False,,,,2144,Iliman Ndiaye,1.0,3081.0,Valentino Livramento,0.0,,,,7070.0,Lewis Hall,0.0,,,,19643.0,Thierno Barry,,,,,
5,198d4eb9b59da3b294547a356b4d5ee7,1,"{'pressures': [], 'initialPressures': [], 'accuracyType': 'S', 'accuracyTypeDescription': 'Standard', 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'C', 'crossOutcomeTypeDescription': 'Complete', 'crossType': 'F', 'crossTypeDescription': 'Floated', 'crossZoneType': 'F', 'crossZoneTypeDescription': 'Far Post', 'crosserPlayer': {'id': 7072, 'name': 'Vitaliy Mykolenko', 'grade': 0.0}, 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': None, 'incompletionReasonTypeDescription': None, 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': 489, 'name': 'James Tarkowski', 'grade': 0.0}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 489, 'name': 'James Tarkowski', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'L', 'bodyTypeDescription': 'Left foot', 'endGameClock': 622.722722, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 7072, 'name': 'Vitaliy Mykolenko'}",[],[],First half,10:04,604.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,[],[],S,Standard,C,Complete,F,Floated,F,Far Post,[],,,,,,,G,On the ground,L,Left foot,622.722722,A,Above head,False,,,,7072,Vitaliy Mykolenko,0.0,,,,,,,,,,489.0,James Tarkowski,0.0,489.0,James Tarkowski,,,,,
6,4928fcc24e818dbfa7c4884acb70626f,1,"{'receiverPlayer': {'id': 19643, 'name': 'Thierno Barry', 'grade': 0.0}, 'linesBrokenType': None, 'positions': [{'grade': -1.0, 'playerId': 281, 'playerName': 'Aaron Ramsdale'}, {'grade': -1.0, 'playerId': 346, 'playerName': 'Joelinton Cássio Apolinário de Lira'}], 'pressures': [], 'crossOutcomeTypeDescription': 'Complete', 'secondIncompletionReasonType': None, 'linesBrokenTypeDescription': None, 'incompletionReasonTypeDescription': None, 'crossZoneTypeDescription': 'Far Post', 'failedBlockers': [], 'highPointType': 'A', 'ballHeightTypeDescription': 'On the ground', 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'highPointTypeDescription': 'Above head', 'ballHeightType': 'G', 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossTypeDescription': 'Inswinger', 'accuracyTypeDescription': 'Standard', 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'bodyTypeDescription': 'Left foot', 'accuracyType': 'S', 'bodyType': 'L', 'secondIncompletionReasonTypeDescription': None, 'endGameClock': 659.32599, 'incompletionReasonType': None, 'crossZoneType': 'F', 'targetPlayer': {'id': 19643, 'name': 'Thierno Barry', 'grade': None}, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossType': 'I', 'nonEvent': False, 'initialPressures': [], 'crosserPlayer': {'id': 5155, 'name': 'Kiernan Dewsbury-Hall', 'grade': 0.0}, 'crossOutcomeType': 'C'}",2025-2026,[],"{'id': 5155, 'name': 'Kiernan Dewsbury-Hall'}",[],[],First half,10:41,641.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,[],[],S,Standard,C,Complete,I,Inswinger,F,Far Post,[],,,,,,,G,On the ground,L,Left foot,659.32599,A,Above head,False,,,,5155,Kiernan Dewsbury-Hall,0.0,,,,,,,,,,19643.0,Thierno Barry,0.0,19643.0,Thierno Barry,,"[{'grade': -1.0, 'playerId': 281, 'playerName': 'Aaron Ramsdale'}, {'grade': -1.0, 'playerId': 346, 'playerName': 'Joelinton Cássio Apolinário de Lira'}]",,,
7,e9fba6132294a3c222bfabc114965a74,1,"{'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'linesBrokenType': None, 'pressures': [{'type': 'P', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Player Pressured'}], 'crossOutcomeTypeDescription': 'Defensive Interception', 'secondIncompletionReasonType': 'RS', 'linesBrokenTypeDescription': None, 'incompletionReasonTypeDescription': 'Defender Interception', 'crossZoneTypeDescription': 'Near Post', 'failedBlockers': [], 'highPointType': 'G', 'ballHeightTypeDescription': 'On the ground', 'movements': [{'grade': -1.0, 'playerId': 172, 'playerName': 'Michael Keane'}], 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'highPointTypeDescription': 'On the ground', 'ballHeightType': 'G', 'failedBlockerPlayer': {'id': 3112, 'name': 'Anthony Elanga', 'grade': 0.0}, 'crossTypeDescription': 'Drilled', 'accuracyTypeDescription': None, 'defenderPlayer': {'id': 9964, 'name': 'Nick Woltemade', 'grade': 0.0}, 'bodyTypeDescription': 'Left foot', 'accuracyType': None, 'bodyType': 'L', 'secondIncompletionReasonTypeDescription': 'Receiver Stopped', 'endGameClock': 938.138138, 'incompletionReasonType': 'DI', 'crossZoneType': 'N', 'targetPlayer': {'id': 172, 'name': 'Michael Keane', 'grade': None}, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossType': 'D', 'nonEvent': False, 'initialPressures': [{'type': 'P', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Player Pressured'}], 'crosserPlayer': {'id': 371, 'name': 'Jack Grealish', 'grade': 0.0}, 'crossOutcomeType': 'D'}",2025-2026,[],"{'id': 371, 'name': 'Jack Grealish'}",[],[],First half,15:20,920.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,"[{'type': 'P', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Player Pressured'}]","[{'type': 'P', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Player Pressured'}]",,,D,Defensive Interception,D,Drilled,N,Near Post,[],DI,Defender Interception,,,RS,Receiver Stopped,G,On the ground,L,Left foot,938.138138,G,On the ground,False,,,,371,Jack Grealish,0.0,9964.0,Nick Woltemade,0.0,,,,3112.0,Anthony Elanga,0.0,,,,172.0,Michael Keane,,,"[{'grade': -1.0, 'playerId': 172, 'playerName': 'Michael Keane'}]",,
8,2a9959c7349d552dccb9e85420c031e8,1,"{'pressures': [], 'initialPressures': [], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'D', 'crossOutcomeTypeDescription': 'Defensive Interception', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 5152, 'name': 'James Garner', 'grade': 0.0}, 'defenderPlayer': {'id': 3081, 'name': 'Valentino Livramento', 'grade': 0.0}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': 'DI', 'incompletionReasonTypeDescription': 'Defender Interception', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 19643, 'name': 'Thierno Barry', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 1056.723389, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 5152, 'name': 'James Garner'}",[],[],First half,17:19,1039.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,[],[],,,D,Defensive Interception,I,Inswinger,N,Near Post,[],DI,Defender Interception,,,,,G,On the ground,R,Right foot,1056.723389,A,Above head,False,,,,5152,James Garner,0.0,3081.0,Valentino Livramento,0.0,,,,,,,,,,19643.0,Thierno Barry,,,,,
9,6be4dd1e619176a13ccafb8a768cb142,1,"{'pressures': [{'type': 'A', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Attempted Pressure'}], 'initialPressures': [], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'D', 'crossOutcomeTypeDescription': 'Defensive Interception', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 5152, 'name': 'James Garner', 'grade': -1.0}, 'defenderPlayer': {'id': 219, 'name': 'Harvey Barnes', 'grade': 0.0}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': 'DI', 'incompletionReasonTypeDescription': 'Defender Interception', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': 'BH', 'secondIncompletionReasonTypeDescription': 'Behind', 'targetPlayer': {'id': 172, 'name': 'Michael Keane', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 1066.700033, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 5152, 'name': 'James Garner'}",[],[],First half,17:28,1048.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,"[{'type': 'A', 'playerId': 3112, 'playerName': 'Anthony Elanga', 'typeDescription': 'Attempted Pressure'}]",[],,,D,Defensive Interception,I,Inswinger,N,Near Post,[],DI,Defender Interception,,,BH,Behind,G,On the ground,R,Right foot,1066.700033,A,Above head,False,,,,5152,James Garner,-1.0,219.0,Harvey Barnes,0.0,,,,,,,,,,172.0,Michael Keane,,,,,
10,412958312f319ec5bbf28d20ca40b878,1,"{'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'linesBrokenType': None, 'positions': [{'grade': -1.0, 'playerId': 10727, 'playerName': 'Malick Thiaw'}], 'pressures': [{'type': 'L', 'playerId': 10727, 'playerName': 'Malick Thiaw', 'typeDescription': 'Passing Lane'}, {'type': 'L', 'playerId': 10727, 'playerName': 'Malick Thiaw', 'typeDescription': 'Passing Lane'}], 'crossOutcomeTypeDescription': 'Defensive Interception', 'secondIncompletionReasonType': 'UH', 'linesBrokenTypeDescription': None, 'incompletionReasonTypeDescription': 'Defender Interception', 'crossZoneTypeDescription': 'Near Post', 'failedBlockers': [], 'highPointType': 'A', 'ballHeightTypeDescription': 'On the ground', 'movements': [{'grade': -1.0, 'playerId': 19643, 'playerName': 'Thierno Barry'}], 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'highPointTypeDescription': 'Above head', 'ballHeightType': 'G', 'failedBlockerPlayer': {'id': 10727, 'name': 'Malick Thiaw', 'grade': 0.0}, 'crossTypeDescription': 'Outswinger', 'accuracyTypeDescription': None, 'defenderPlayer': {'id': 441, 'name': 'Dan Burn', 'grade': 0.0}, 'bodyTypeDescription': 'Left foot', 'accuracyType': None, 'bodyType': 'L', 'secondIncompletionReasonTypeDescription': 'Underhit', 'endGameClock': 1249.482816, 'incompletionReasonType': 'DI', 'crossZoneType': 'N', 'targetPlayer': {'id': 5155, 'name': 'Kiernan Dewsbury-Hall', 'grade': None}, 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossType': 'O', 'nonEvent': False, 'initialPressures': [], 'crosserPlayer': {'id': 7072, 'name': 'Vitaliy Mykolenko', 'grade': -1.0}, 'crossOutcomeType': 'D'}",2025-2026,[],"{'id': 7072, 'name': 'Vitaliy Mykolenko'}",[],[],First half,20:31,1231.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,"[{'type': 'L', 'playerId': 10727, 'playerName': 'Malick Thiaw', 'typeDescription': 'Passing Lane'}, {'type': 'L', 'playerId': 10727, 'playerName': 'Malick Thiaw', 'typeDescription': 'Passing Lane'}]",[],,,D,Defensive Interception,O,Outswinger,N,Near Post,[],DI,Defender Interception,,,UH,Underhit,G,On the ground,L,Left foot,1249.482816,A,Above head,False,,,,7072,Vitaliy Mykolenko,-1.0,441.0,Dan Burn,0.0,,,,10727.0,Malick Thiaw,0.0,,,,5155.0,Kiernan Dewsbury-Hall,,"[{'grade': -1.0, 'playerId': 10727, 'playerName': 'Malick Thiaw'}]","[{'grade': -1.0, 'playerId': 19643, 'playerName': 'Thierno Barry'}]",,
11,42ab3e94b8aca6b049e238d2c260e771,1,"{'pressures': [{'type': 'P', 'playerId': 441, 'playerName': 'Dan Burn', 'typeDescription': 'Player Pressured'}], 'initialPressures': [{'type': 'P', 'playerId': 3081, 'playerName': 'Valentino Livramento', 'typeDescription': 'Player Pressured'}, {'type': 'P', 'playerId': 3081, 'playerName': None, 'typeDescription': 'Player Pressured'}], 'accuracyType': None, 'accuracyTypeDescription': None, 'blockerPlayer': {'id': 3924, 'name': 'Bruno Guimarães', 'grade': 0.0}, 'crossOutcomeType': 'B', 'crossOutcomeTypeDescription': 'Blocked', 'crossType': 'O', 'crossTypeDescription': 'Outswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 3258, 'name': 'Tim Iroegbunam', 'grade': 0.0}, 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': 'BL', 'incompletionReasonTypeDescription': 'Blocked', 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': None, 'name': None, 'grade': None}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 19643, 'name': 'Thierno Barry', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'L', 'bodyTypeDescription': 'Left foot', 'endGameClock': 1328.79546, 'highPointType': 'H', 'highPointTypeDescription': 'Between waist and head', 'nonEvent': False}",2025-2026,[],"{'id': 3258, 'name': 'Tim Iroegbunam'}",[],[],First half,21:49,1309.0,"{'id': 8, 'name': 'Everton'}",1,40992,True,CR,Cross,"[{'type': 'P', 'playerId': 441, 'playerName': 'Dan Burn', 'typeDescription': 'Player Pressured'}]","[{'type': 'P', 'playerId': 3081, 'playerName': 'Valentino Livramento', 'typeDescription': 'Player Pressured'}, {'type': 'P', 'playerId': 3081, 'playerName': None, 'typeDescription': 'Player Pressured'}]",,,B,Blocked,O,Outswinger,N,Near Post,[],BL,Blocked,,,,,G,On the ground,L,Left foot,1328.79546,H,Between waist and head,False,3924.0,Bruno Guimarães,0.0,3258,Tim Iroegbunam,0.0,,,,,,,,,,,,,19643.0,Thierno Barry,,,,,
12,f14c4761bcf8facc58c8bca69d680fc0,1,"{'pressures': [], 'initialPressures': [], 'accuracyType': 'S', 'accuracyTypeDescription': 'Standard', 'blockerPlayer': {'id': None, 'name': None, 'grade': None}, 'crossOutcomeType': 'C', 'crossOutcomeTypeDescription': 'Complete', 'crossType': 'I', 'crossTypeDescription': 'Inswinger', 'crossZoneType': 'N', 'crossZoneTypeDescription': 'Near Post', 'crosserPlayer': {'id': 16789, 'name': 'Lewis Miley', 'grade': 0.0}, 'defenderPlayer': {'id': None, 'name': None, 'grade': None}, 'deflectorPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockerPlayer': {'id': None, 'name': None, 'grade': None}, 'failedBlockers': [], 'incompletionReasonType': None, 'incompletionReasonTypeDescription': None, 'linesBrokenType': None, 'linesBrokenTypeDescription': None, 'receiverPlayer': {'id': 441, 'name': 'Dan Burn', 'grade': 0.0}, 'secondIncompletionReasonType': None, 'secondIncompletionReasonTypeDescription': None, 'targetPlayer': {'id': 441, 'name': 'Dan Burn', 'grade': None}, 'ballHeightType': 'G', 'ballHeightTypeDescription': 'On the ground', 'bodyType': 'R', 'bodyTypeDescription': 'Right foot', 'endGameClock': 1457.358557, 'highPointType': 'A', 'highPointTypeDescription': 'Above head', 'nonEvent': False}",2025-2026,[],"{'id': 16789, 'name': 'Lewis Miley'}",[],[],First half,24:00,1440.0,"{'id': 13, 'name': 'Newcastle United'}",1,40992,False,CR,Cross,[],[],S,Standard,C,Complete,I,Inswinger,N,Near Post,[],,,,,,,G,On the ground,R,Right foot,1457.358557,A,Above head,False,,,,16789,Lewis Miley,0.0,,,,,,,,,,441.0,Dan Burn,0.0,441.0,Dan Burn,,,,,
